Time,50BTC.com,AntPool,BTC Guild,BTC.TOP,BTCC Pool,BW.COM,BitFury,BitMinter,Eligius,F2Pool,SlushPool,Unknown,ViaBTC,ghash.io,others
2014-01-01 00:00:00 UTC,1.10E+13,,3.58E+15,,1.38E+13,,,3.50E+14,1.76E+15,1.76E+15,7.06E+14,1.71E+15,,4.82E+15,3.67E+14
2014-02-01 00:00:00 UTC,4.45E+13,4.94E+13,4.92E+15,,9.88E+12,,,3.95E+14,4.55E+15,2.52E+15,7.95E+14,2.78E+15,,7.32E+15,8.25E+14
2014-03-01 00:00:00 UTC,1.23E+14,8.88E+13,5.39E+15,,,,,3.96E+14,4.94E+15,4.27E+15,9.63E+14,6.98E+15,,8.98E+15,2.79E+15
2014-04-01 00:00:00 UTC,2.10E+14,1.78E+14,6.70E+15,,,,,6.92E+14,4.64E+15,7.76E+15,1.33E+15,1.32E+16,,1.37E+16,4.32E+15
2014-05-01 00:00:00 UTC,9.99E+13,,8.88E+15,,,,,1.01E+15,5.94E+15,9.37E+15,2.11E+15,1.22E+16,,2.36E+16,8.68E+15
2014-06-01 00:00:00 UTC,4.12E+13,1.13E+15,1.10E+16,,,,2.70E+15,1.42E+15,7.29E+15,1.47E+16,3.75E+15,8.82E+15,,3.86E+16,1.60E+16
2014-07-01 00:00:00 UTC,,3.41E+15,9.60E+15,,,,9.60E+15,1.48E+15,7.15E+15,2.40E+16,4.97E+15,9.69E+15,,4.24E+16,1.97E+16
2014-08-01 00:00:00 UTC,,3.90E+15,1.06E+16,,,,1.38E+16,9.49E+14,8.99E+15,3.82E+16,6.24E+15,1.66E+16,,4.56E+16,2.89E+16
2014-09-01 00:00:00 UTC,,6.17E+15,1.30E+16,,,,1.37E+16,1.22E+15,9.79E+15,5.43E+16,7.73E+15,3.91E+16,,5.22E+16,3.46E+16
2014-10-01 00:00:00 UTC,,5.25E+15,1.18E+16,,6.77E+14,,1.35E+16,1.97E+15,1.25E+16,7.05E+16,8.35E+15,4.48E+16,,5.51E+16,3.92E+16
2014-11-01 00:00:00 UTC,,1.35E+16,1.34E+16,,9.12E+15,,1.67E+16,1.76E+15,1.11E+16,7.07E+16,9.91E+15,4.86E+16,,4.72E+16,4.64E+16
2014-12-01 00:00:00 UTC,,3.17E+16,1.33E+16,,1.78E+16,,1.27E+16,1.28E+15,9.77E+15,6.48E+16,1.02E+16,5.03E+16,,4.11E+16,3.41E+16
2015-01-01 00:00:00 UTC,,4.48E+16,1.35E+16,,2.36E+16,8.80E+14,1.10E+16,1.90E+15,8.87E+15,6.41E+16,8.26E+15,5.08E+16,,3.03E+16,4.86E+16
2015-02-01 00:00:00 UTC,,4.76E+16,1.29E+16,,2.56E+16,2.65E+16,6.78E+15,1.72E+15,1.01E+16,5.47E+16,1.03E+16,5.77E+16,,2.62E+16,4.89E+16
2015-03-01 00:00:00 UTC,,5.71E+16,1.50E+16,,2.56E+16,3.96E+16,8.07E+15,3.02E+15,9.20E+15,5.63E+16,1.24E+16,4.83E+16,,1.45E+16,5.40E+16
2015-04-01 00:00:00 UTC,,5.39E+16,1.46E+16,,2.88E+16,3.89E+16,1.46E+16,2.48E+15,7.37E+15,7.20E+16,1.51E+16,2.72E+16,,1.06E+16,5.55E+16
2015-05-01 00:00:00 UTC,,6.47E+16,1.06E+16,,3.15E+16,3.74E+16,1.91E+16,2.78E+15,5.95E+15,7.31E+16,1.38E+16,2.08E+16,,8.34E+15,5.67E+16
2015-06-01 00:00:00 UTC,,6.84E+16,8.24E+15,,3.63E+16,3.04E+16,4.26E+16,2.26E+15,7.83E+15,7.18E+16,9.04E+15,1.73E+16,,7.91E+15,5.18E+16
2015-07-01 00:00:00 UTC,,7.40E+16,,,4.07E+16,3.29E+16,5.41E+16,3.58E+15,1.63E+16,6.77E+16,1.28E+16,1.61E+16,,7.08E+15,4.75E+16
2015-08-01 00:00:00 UTC,,6.71E+16,,,4.78E+16,3.07E+16,6.20E+16,3.07E+15,1.75E+16,7.76E+16,1.97E+16,9.88E+15,,6.13E+15,4.98E+16
2015-09-01 00:00:00 UTC,,7.22E+16,,,5.47E+16,2.82E+16,6.35E+16,3.44E+15,1.37E+16,8.23E+16,3.13E+16,4.97E+15,,4.87E+15,6.77E+16
2015-10-01 00:00:00 UTC,,8.18E+16,,,6.17E+16,2.65E+16,6.80E+16,3.23E+15,9.68E+15,8.85E+16,3.12E+16,5.08E+15,,5.87E+15,6.43E+16
2015-11-01 00:00:00 UTC,,1.08E+17,,,6.41E+16,2.90E+16,7.50E+16,3.29E+15,9.10E+15,1.11E+17,3.15E+16,4.28E+15,,8.56E+15,6.58E+16
2015-12-01 00:00:00 UTC,,1.55E+17,,,9.39E+16,4.12E+16,9.55E+16,2.83E+15,1.06E+16,1.62E+17,3.07E+16,5.52E+15,,7.41E+15,7.77E+16
2016-01-01 00:00:00 UTC,,2.22E+17,,,1.13E+17,5.47E+16,1.28E+17,4.09E+15,9.59E+15,1.98E+17,3.59E+16,3.02E+15,,8.88E+15,8.78E+16
2016-02-01 00:00:00 UTC,,2.60E+17,,,1.69E+17,9.16E+16,1.43E+17,5.20E+15,8.67E+15,2.74E+17,4.88E+16,1.98E+15,,9.16E+15,1.16E+17
2016-03-01 00:00:00 UTC,,3.07E+17,,,1.77E+17,7.12E+16,1.33E+17,2.60E+15,5.72E+15,2.85E+17,4.16E+16,1.82E+15,,7.02E+15,1.57E+17
2016-04-01 00:00:00 UTC,,3.54E+17,,,1.85E+17,8.50E+16,1.18E+17,2.58E+15,4.59E+15,3.05E+17,5.45E+16,1.72E+15,,5.45E+15,1.64E+17
2016-05-01 00:00:00 UTC,,3.47E+17,,,1.88E+17,1.38E+17,1.30E+17,3.96E+15,3.65E+15,3.66E+17,7.33E+16,8.22E+15,,4.26E+15,1.44E+17
2016-06-01 00:00:00 UTC,,2.94E+17,,,1.87E+17,1.92E+17,1.33E+17,3.33E+15,3.66E+15,3.70E+17,6.83E+16,2.33E+16,1.07E+16,3.66E+15,1.98E+17
2016-07-01 00:00:00 UTC,,2.90E+17,,,2.00E+17,2.03E+17,1.35E+17,2.05E+15,3.76E+15,2.96E+17,7.89E+16,1.54E+16,4.81E+16,3.07E+15,2.15E+17
2016-08-01 00:00:00 UTC,,2.48E+17,,,2.13E+17,2.03E+17,1.31E+17,2.36E+15,2.70E+15,3.01E+17,9.53E+16,1.35E+15,1.26E+17,3.38E+15,2.43E+17
2016-09-01 00:00:00 UTC,,2.52E+17,,,2.11E+17,2.02E+17,1.44E+17,2.63E+15,2.26E+15,3.10E+17,1.10E+17,3.01E+15,1.62E+17,4.89E+15,3.06E+17
2016-10-01 00:00:00 UTC,,3.24E+17,,,2.14E+17,1.81E+17,1.47E+17,4.05E+14,2.03E+15,2.97E+17,1.09E+17,1.05E+16,1.67E+17,1.62E+15,3.86E+17
2016-11-01 00:00:00 UTC,,3.47E+17,,,2.13E+17,1.94E+17,1.53E+17,4.40E+14,,3.12E+17,1.25E+17,2.51E+16,1.47E+17,,4.70E+17
2016-12-01 00:00:00 UTC,,4.33E+17,,1.30E+16,1.98E+17,2.29E+17,1.80E+17,9.62E+14,,3.46E+17,1.38E+17,2.55E+16,1.30E+17,,5.63E+17
2017-01-01 00:00:00 UTC,,4.96E+17,,9.56E+16,1.92E+17,2.31E+17,2.46E+17,1.11E+15,2.78E+15,4.20E+17,1.47E+17,5.00E+16,1.80E+17,,6.69E+17
2017-02-01 00:00:00 UTC,,5.37E+17,,1.73E+17,2.18E+17,2.20E+17,3.61E+17,1.51E+15,,4.28E+17,1.86E+17,7.32E+16,2.21E+17,,7.90E+17
2017-03-01 00:00:00 UTC,,5.47E+17,,2.16E+17,2.46E+17,2.15E+17,3.74E+17,2.25E+15,1.50E+15,4.13E+17,2.25E+17,1.14E+17,2.42E+17,,8.75E+17
2017-04-01 00:00:00 UTC,,6.23E+17,,3.17E+17,3.40E+17,1.91E+17,3.81E+17,8.49E+14,,4.01E+17,2.15E+17,2.27E+17,1.54E+17,,9.17E+17
2017-05-01 00:00:00 UTC,,7.20E+17,,4.32E+17,3.65E+17,2.07E+17,3.66E+17,3.59E+15,2.69E+15,4.17E+17,2.24E+17,5.30E+17,2.37E+17,,8.47E+17
2017-06-01 00:00:00 UTC,,8.44E+17,,7.14E+17,3.78E+17,2.28E+17,2.65E+17,2.26E+15,,4.85E+17,2.45E+17,7.17E+17,2.37E+17,,9.30E+17
2017-07-01 00:00:00 UTC,,1.28E+18,,7.58E+17,4.55E+17,2.96E+17,2.05E+17,,,4.73E+17,2.57E+17,7.75E+17,3.00E+17,,1.23E+18
2017-08-01 00:00:00 UTC,,1.16E+18,,7.70E+17,4.60E+17,2.30E+17,3.25E+17,1.44E+15,,5.00E+17,3.43E+17,8.45E+17,3.52E+17,,1.35E+18
2017-09-01 00:00:00 UTC,,1.25E+18,,1.06E+18,5.87E+17,2.06E+17,3.45E+17,1.63E+15,,6.91E+17,4.44E+17,1.66E+18,7.99E+17,,8.77E+17
2017-10-01 00:00:00 UTC,,1.78E+18,,1.19E+18,6.49E+17,1.90E+17,3.67E+17,1.92E+15,,8.40E+17,6.28E+17,1.82E+18,9.32E+17,,8.61E+17
2017-11-01 00:00:00 UTC,,1.75E+18,,1.30E+18,4.46E+17,1.86E+17,3.45E+17,6.90E+15,2.30E+15,8.14E+17,9.34E+17,2.17E+18,1.37E+18,,7.29E+17
2017-12-01 00:00:00 UTC,,2.38E+18,,1.77E+18,3.95E+17,2.09E+17,3.66E+17,2.65E+15,,1.04E+18,1.43E+18,3.34E+18,1.64E+18,,7.50E+17
2018-01-01 00:00:00 UTC,,3.36E+18,,2.32E+18,4.27E+17,2.31E+17,3.57E+17,,,9.69E+17,1.87E+18,5.23E+18,2.08E+18,,8.47E+17
2018-02-01 00:00:00 UTC,,3.40E+18,,2.79E+18,8.40E+17,1.97E+17,3.75E+17,,,1.08E+18,2.30E+18,7.57E+18,2.62E+18,,9.47E+17
